67;"06:00/16:00 (5X1 ESCALA)";220;0;110;44;7,33333;7,33333;6;0;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"CO";"FE";"RE";"NO";"";yes;0;0;1;1;0;"camila";03/09/18;"141523";"           S";"";03/09/18;?;yes;no;75600;18000;0;0;no;0;0;0
68;"05:30/15:30";220;0;110;44;7,33333;7,33333;6;0;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"NO";"CO";"RE";"FE";"";yes;0;0;1;1;0;"ellen";24/08/09;"162130";"           ";"";?;?;yes;no;75600;18000;0;0;no;0;0;0
69;"06:30/16:18";220;0;110;44;7,33333;8,8;7;0;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"NO";"CO";"RE";"FE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;75600;18000;0;0;no;0;0;0
70;"08:00/17:48";220;0;110;44;7,33333;8,8;7;0;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"NO";"FE";"CO";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;0;0;0;0;no;0;0;0
71;"08:00/17:48";220;0;110;44;7,33333;8,8;7;0;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"NO";"CO";"FE";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;0;0;0;0;no;0;0;0
72;"05:00/15:00 (5X1 GERAL)";220;0;110;44;7,33333;9;6;0;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"NO";"CO";"RE";"FE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;75600;18000;0;0;no;0;0;0
73;"17:00/03:00 (5X1 GERAL)";220;0;110;44;7,33333;9;6;28800;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"NO";"CO";"RE";"FE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;75600;18000;0;0;no;0;0;0
74;"16:00/00:00 (5X1 GERAL)";220;0;110;44;7,33333;8;6;18000;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"NO";"CO";"RE";"FE";"";yes;0;0;1;1;0;"ellen";26/12/18;"175306";"           S";"";26/12/18;?;yes;no;79200;18000;0;0;no;0;0;0
75;"15:20/23:20 (5x1 GERAL)";220;0;110;44;7,33333;7,33333;6;22800;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"NO";"CO";"RE";"FE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;75600;18000;0;0;no;0;0;0
76;"07:00/17:00 (6X1 GERAL)";220;0;110;44;7,33333;7,33333;7;0;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"NO";"CO";"FE";"RE";"";yes;0;0;1;1;0;"super";04/02/18;"123759";"           S";"";31/12/17;?;yes;no;0;0;0;0;no;0;0;0
77;"17:20/01:40(5x1 GERAL)";220;0;110;44;7,33333;7,33333;6;27600;1;1;1;5;no;"";"NACIONAL";1;1;1;0;0;"NO";"CO";"RE";"FE";"";yes;0;0;1;1;0;"gsilva";19/08/19;"170327";"           ";"";?;?;yes;no;75600;18000;0;0;no;0;0;0
