74;"ENGENHEIRA CIVIL";3;"214205";0;01/10/08;01/10/08;01/10/08;?;0;1;1;1;1;"";"";"cleo";01/10/08;"085153";"";"";?;?;no;no;0;0;0;0;1
75;"FISCAL DE CAMPO (SAFRA)";3;"414210";0;02/06/10;02/06/10;02/06/10;?;0;1;1;1;2;"";"";"ELLEN";02/06/10;"094905";"";"";?;?;no;no;0;0;0;0;1
76;"ENCARREGADO DE OBRAS";3;"710205";0;16/10/08;16/10/08;16/10/08;?;0;1;1;1;3;"";"";"cleo";16/10/08;"081016";"";"";?;?;no;no;0;0;0;0;1
77;"PEDREIRO";3;"715210";0;25/05/15;25/05/15;25/05/15;?;0;1;1;1;3;"";"";"lucimar";25/05/15;"105021";"";"";?;?;no;no;0;0;0;0;1
78;"VIGIA";3;"517420";0;06/03/09;06/03/09;06/03/09;?;0;1;1;1;1;"";"";"ellen";06/03/09;"115149";"";"";?;?;no;no;0;0;0;0;1
79;"COZINHEIRO (DOMESTICO)";3;"512105";0;07/04/09;07/04/09;07/04/09;?;0;1;1;1;1;"";"";"VAL";07/04/09;"100230";"";"";?;?;no;no;0;0;0;0;1
80;"OPERADOR DE COLHEITADEIRA";3;"641005";0;30/04/09;30/04/09;30/04/09;?;0;1;1;1;2;"";"";"ellen";30/04/09;"083811";"";"";?;?;no;no;0;0;0;0;1
81;"ENGENHEIRO AGRONOMO TRAINEE";3;"222110";0;29/04/09;29/04/09;29/04/09;?;0;1;1;1;2;"";"";"ellen";29/04/09;"171427";"";"";?;?;no;no;0;0;0;0;1
82;"SUPERVISORA DE CONTABILIDADE";3;"410105";0;18/08/22;18/08/22;18/08/22;?;0;1;1;1;1;"";"";"amagro";18/08/22;"114217";"";"";?;?;no;no;0;0;0;0;1
83;"ASSISTENTE DE RH";3;"411030";0;26/01/16;26/01/16;26/01/16;?;0;1;1;1;1;"";"";"dani";26/01/16;"151403";"";"";?;?;no;no;0;0;0;0;1
84;"OPERADOR DE COLHEDORA";3;"641005";0;19/08/22;19/08/22;19/08/22;?;0;1;1;1;2;"";"";"amagro";19/08/22;"093542";"";"";?;?;no;no;0;0;0;0;1
85;"TECNICO DE SEGURANÇA TRAINNE";3;"351605";0;07/07/09;07/07/09;07/07/09;?;0;1;1;1;1;"";"";"ellen";07/07/09;"180827";"";"";?;?;no;no;0;0;0;0;1
86;"LIDER DE COLHEDORA";3;"620105";0;01/10/09;01/10/09;01/10/09;?;0;1;1;1;1;"";"";"val";01/10/09;"084835";"";"";?;?;no;no;0;0;0;0;1
87;"MOTORISTA CANAVIEIRO";3;"782510";0;10/12/15;10/12/15;10/12/15;?;0;1;1;1;2;"";"";"lucimar";10/12/15;"164939";"";"";?;?;no;no;0;0;0;0;1
88;"ASSESSORA DA DIRETORIA";3;"252305";0;30/12/09;30/12/09;30/12/09;?;0;1;1;1;1;"";"";"lucimar";30/12/09;"174259";"";"";?;?;no;no;0;0;0;0;1
89;"ESTAGIARIO";3;"411005";0;12/01/10;12/01/10;12/01/10;?;0;1;1;1;3;"";"";"lucimar";12/01/10;"163444";"";"";?;?;no;no;0;0;0;0;1
