49;"06:00/16:48 (MOTORISTA ONIBUS";"NO";1;21600;60480;0;0;0;7200;no;0;0;0;"ellen";06/08/10;"080347";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
50;"08:00/16:20 (GERAL OFICINA)";"NO";1;28800;58800;0;0;0;3600;no;0;0;0;"ellen";06/08/10;"080350";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
51;"07:00/17:00 (GERAL/ESCRITORIO)";"NO";1;25200;61200;0;0;0;3600;no;0;0;0;"ellen";06/08/10;"080355";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
52;"07:00/16:00 (GERAL/ESCRITORIO)";"NO";1;25200;57600;0;0;0;3600;no;0;0;0;"ellen";06/08/10;"080401";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
53;"09:00/17:00 (GERA/VIGIA)";"NO";1;32400;61200;0;0;0;3600;no;0;0;0;"ellen";06/08/10;"080406";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
54;"17:00/03:00 (GERAL)";"NO";1;61200;10800;0;0;0;3600;yes;0;0;0;"ellen";06/08/10;"080410";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
55;"06:00/16:00 (MOTORISTA ONIBUS";"NO";1;21600;57600;0;0;0;7200;no;0;0;0;"ellen";06/08/10;"080419";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
56;"06:00/10:00 (MOTORISTA ONIBUS";"NO";1;21600;36000;0;0;0;26400;no;0;0;0;"LUCIMAR";14/10/13;"142503";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
57;"05:10/17:58 (MOTORISTA ONIBU";"NO";1;18600;64680;0;0;0;18000;no;0;0;0;"ellen";06/08/10;"080427";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
58;"15:20/23:20";"NO";1;55200;84000;0;0;0;3600;no;0;0;0;"fabiano";01/03/16;"145722";"000000000000000             N00000";"";?;?;no;no;0;0;0;0;600;600
59;"07:00/15:00";"NO";1;25200;54000;0;0;0;3600;no;0;0;0;"ellen";06/08/10;"080436";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
60;"07:00/16:48";"NO";1;25200;60480;0;0;0;3600;no;0;0;0;"ELLEN";29/06/09;"144536";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
61;"06:00/18:00";"NO";1;21600;64800;0;0;0;14400;no;0;0;0;"val";03/07/09;"091020";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
62;"06:00/12:30";"NO";1;21600;45000;0;0;0;5400;no;0;0;0;"val";03/07/09;"090904";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
63;"05:00/18:00";"NO";1;18000;64800;0;0;0;14400;no;0;0;0;"ellen";06/08/10;"080455";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
64;"05:00/17:00";"NO";1;18000;61200;0;0;0;14400;no;0;0;0;"ellen";06/08/10;"080459";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
65;"05:30/15:30";"NO";1;19800;55800;0;0;0;7200;no;0;0;0;"ellen";06/08/10;"080503";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
66;"22:00/06:00 (5x1)";"NO";1;79200;21600;0;0;0;3600;yes;0;0;0;"ellen";06/08/10;"080508";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
67;"05:00/17:00 (Seg a Sex ONIBUS)";"NO";1;18000;61200;0;0;0;14400;no;0;0;0;"ellen";06/08/10;"080512";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
68;"18:00/04:00";"NO";1;64800;14400;0;0;0;6000;yes;0;1800;1800;"ellen";06/08/10;"080517";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
69;"15:30/01:30 (5X1 ESCALA)";"NO";1;55800;5400;0;0;0;6000;yes;0;1800;1800;"ellen";06/08/10;"080520";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
70;"06:00/16:00 (5X1 ESCALA)";"NO";1;21600;57600;0;0;0;7200;no;0;0;0;"camila";02/05/18;"224826";"000000000000000             N00000";"";?;?;no;no;0;0;0;0;0;0
71;"06:30/16:18";"NO";1;23400;58680;0;0;0;3600;no;0;0;0;"ellen";25/08/09;"095802";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
72;"05:20/15:20";"NO";1;19200;55200;0;0;0;7200;no;0;0;0;"ellen";06/08/10;"080533";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
73;"08:00/17:48";"NO";1;28800;64080;0;0;0;3600;no;0;0;0;"ellen";28/08/09;"084704";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
74;"08:00/17:48";"NO";1;28800;64080;0;0;0;4320;no;0;0;0;"ellen";23/11/18;"170107";"000000000000000             N00000";"";?;?;no;no;0;0;0;0;0;0
75;"16:00/00:00 (5X1 GERAL)";"NO";1;57600;0;0;0;0;3600;yes;0;0;0;"ellen";26/12/18;"175253";"000000000000000             N00000";"";?;?;no;no;0;0;0;0;0;0
76;"21:00/05:20 (5X1 GERAL)";"NO";1;76800;19200;0;0;0;3600;yes;0;0;0;"fabiano";22/02/16;"174636";"000000000000000             N00000";"";?;?;no;no;0;0;0;0;0;0
77;"05:10/14:43 (MOTORISTAS ONIBU";"NO";1;18600;52980;0;0;0;7200;no;0;0;0;"ellen";06/08/10;"080554";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
78;"06:30/16:18";"NO";1;23400;58680;0;0;0;3600;no;0;0;0;"ellen";01/12/14;"183713";"000000000000000";"";?;?;no;no;0;0;0;0;0;600
79;"05:10/16:43 (MOTORISTAS ONIBU";"NO";1;18600;60180;0;0;0;14400;no;0;0;0;"ellen";06/08/10;"080602";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
80;"05:10/18:10 (ONIBUS)";"NO";1;18600;65400;0;0;0;25200;no;0;0;0;"ellen";05/11/09;"075355";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
81;"05:30/19:30 (ONIBUS)";"NO";1;19800;70200;0;0;0;28800;no;0;0;0;"ELLEN";05/11/09;"090453";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
82;"05:20/14:53 (6x1)";"NO";1;19200;53580;0;0;0;7200;no;0;0;0;"ellen";11/11/09;"164432";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
83;"05:30/18:30(5x1 ONIBUS)";"NO";1;19800;66600;0;0;0;18000;no;0;0;0;"ELLEN";03/12/13;"185303";"000000000000000";"";?;?;no;no;0;0;0;0;1800;1800
84;"09:00/16:00";"NO";1;32400;57600;0;0;0;3600;no;0;0;0;"ellen";12/01/10;"160824";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
85;"15:00/19:00 (5x1ONIBUS)";"NO";1;54000;68400;0;0;0;0;no;0;0;0;"ellen";30/01/10;"174207";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
86;"05:00/08:40 (5x1 ONIBUS)";"NO";1;18000;31200;0;0;0;0;no;0;0;0;"ellen";30/01/10;"190204";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
87;"02:30/08:30";"NO";1;9000;30600;0;0;0;0;no;0;0;0;"ELLEN";04/03/13;"083117";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
88;"02:30/15:03 (ONIBUS 5X1)";"NO";1;9000;54180;0;0;0;18000;no;0;0;0;"ellen";19/02/10;"185110";"000000000000000";"";?;?;no;no;0;0;0;0;0;0
